GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US06079,06079,"San Luis Obispo County, California",269637,269591,269819,271150,274378,275973,278534,280402,282282,283405
0500000US06081,06081,"San Mateo County, California",718451,718500,719899,729022,740644,750345,759156,766779,769561,771410
0500000US06083,06083,"Santa Barbara County, California",423895,423949,424338,426058,430827,435980,440628,443927,446296,448150
0500000US06085,06085,"Santa Clara County, California",1781642,1781671,1786542,1813812,1841868,1870935,1896246,1919220,1931575,1938153
0500000US06087,06087,"Santa Cruz County, California",262382,262366,263216,265103,266794,269395,271529,274299,275196,275897
0500000US06089,06089,"Shasta County, California",177223,177223,177284,177595,177917,178445,178983,178472,178774,179921
0500000US06091,06091,"Sierra County, California",3240,3240,3221,3100,3068,3030,2979,2994,2964,2999
0500000US06093,06093,"Siskiyou County, California",44900,44900,44939,44614,44082,43543,43390,43351,43511,43853
0500000US06095,06095,"Solano County, California",413344,413344,414076,416652,420267,424384,429993,434751,440318,445458
0500000US06097,06097,"Sonoma County, California",483878,483870,484827,487822,490740,495007,499563,502096,503833,504217
0500000US06099,06099,"Stanislaus County, California",514453,514451,515242,518034,521349,524625,529544,535000,541353,547899
0500000US06101,06101,"Sutter County, California",94737,94743,94764,94560,94342,94702,94983,95524,96058,96648
0500000US06103,06103,"Tehama County, California",63463,63440,63563,63347,63241,62916,62820,63128,63444,63926
0500000US06105,06105,"Trinity County, California",13786,13780,13749,13677,13482,13422,13122,13092,12839,12709
0500000US06107,06107,"Tulare County, California",442179,442178,443060,447358,450779,453663,456452,458601,460835,464493
0500000US06109,06109,"Tuolumne County, California",55365,55365,55188,54832,54237,54018,53852,53589,53787,54248
0500000US06111,06111,"Ventura County, California",823318,823391,825298,830990,835143,840175,844749,848925,851096,854223
0500000US06113,06113,"Yolo County, California",200849,200850,201101,202082,204890,206650,208873,212428,215959,219116
0500000US06115,06115,"Yuba County, California",72155,72146,72351,72511,72832,73159,73642,74201,75185,77031
